date,volume_na,volume_sa,volume_eu,volume_af,volume_as,volume_au,volume_ww
2019-06-13,0.00,0.00,0.00,0.00,0.00,0.00,2521.07
2019-06-14,0.00,0.00,0.00,0.00,0.00,0.00,2252.17
2019-06-15,0.00,0.00,0.00,0.00,0.00,0.00,2241.06
2019-06-16,0.00,0.00,0.00,0.00,0.00,0.00,1309.33
2019-06-17,0.00,0.00,0.00,0.00,0.00,0.00,1328.32
2019-06-18,0.00,0.00,0.00,0.00,0.00,0.00,944.28
2019-06-19,0.00,0.00,0.00,0.00,0.00,0.00,2382.97
2019-06-20,0.00,0.00,0.00,0.00,0.00,0.00,2378.13
2019-06-21,0.00,0.00,0.00,0.00,0.00,0.00,1989.13
2019-06-22,0.00,0.00,0.00,0.00,0.00,0.00,2849.03
2019-06-23,0.00,0.00,0.00,0.00,0.00,0.00,1612.22
2019-06-24,0.00,0.00,0.00,0.00,0.00,0.00,1562.28
2019-06-25,0.00,0.00,0.00,0.00,0.00,0.00,1556.31
2019-06-26,0.00,0.00,0.00,0.00,0.00,0.00,1866.90
2019-06-27,0.00,0.00,0.00,0.00,0.00,0.00,2664.72
2019-06-28,0.00,0.00,0.00,0.00,0.00,0.00,2625.80
2019-06-29,0.00,0.00,0.00,0.00,0.00,0.00,896.62
2019-06-30,0.00,0.00,0.00,0.00,0.00,0.00,1681.17
2019-07-01,0.00,0.00,0.00,0.00,0.00,0.00,1665.25
2019-07-02,0.00,0.00,0.00,0.00,0.00,0.00,1407.97
2019-07-03,0.00,0.00,0.00,0.00,0.00,0.00,796.45
2019-07-04,0.00,0.00,0.00,0.00,0.00,0.00,1313.45
2019-07-05,0.00,0.00,0.00,0.00,0.00,0.00,2037.11
2019-07-06,0.00,0.00,0.00,0.00,0.00,0.00,1250.25
2019-07-07,0.00,0.00,0.00,0.00,0.00,0.00,1536.14
2019-07-08,0.00,0.00,0.00,0.00,0.00,0.00,1024.26
2019-07-09,0.00,0.00,0.00,0.00,0.00,0.00,1320.18
2019-07-10,0.00,0.00,0.00,0.00,0.00,0.00,1934.01
2019-07-11,0.00,0.00,0.00,0.00,0.00,0.00,1880.23
2019-07-12,0.00,0.00,0.00,0.00,0.00,0.00,2161.05
2019-07-13,0.00,0.00,0.00,0.00,0.00,0.00,1411.40
2019-07-14,0.00,0.00,0.00,0.00,0.00,0.00,1438.14
2019-07-15,0.00,0.00,0.00,0.00,0.00,0.00,1195.38
2019-07-16,0.00,0.00,0.00,0.00,0.00,0.00,1019.39
2019-07-17,0.00,0.00,0.00,0.00,0.00,0.00,1175.34
2019-07-18,0.00,0.00,0.00,0.00,0.00,0.00,1021.46
2019-07-19,0.00,0.00,0.00,0.00,0.00,0.00,1358.35
2019-07-20,0.00,0.00,0.00,0.00,0.00,0.00,2291.02
2019-07-21,0.00,0.00,0.00,0.00,0.00,0.00,3145.85
2019-07-22,0.00,0.00,0.00,0.00,0.00,0.00,2533.30
2019-07-23,0.00,0.00,0.00,0.00,0.00,0.00,1068.37
2019-07-24,0.00,0.00,0.00,0.00,0.00,0.00,1154.25
2019-07-25,0.00,0.00,0.00,0.00,0.00,0.00,1369.47
2019-07-26,0.00,0.00,0.00,0.00,0.00,0.00,1369.46
2019-07-27,0.00,0.00,0.00,0.00,0.00,0.00,744.63
2019-07-28,0.00,0.00,0.00,0.00,0.00,0.00,2307.98
2019-07-29,0.00,0.00,0.00,0.00,0.00,0.00,1608.25
2019-07-30,0.00,0.00,0.00,0.00,0.00,0.00,1264.20
2019-07-31,0.00,0.00,0.00,0.00,0.00,0.00,2115.20
2019-08-01,0.00,0.00,0.00,0.00,0.00,0.00,2117.12
2019-08-02,0.00,0.00,0.00,0.00,0.00,0.00,775.46
2019-08-03,0.00,0.00,0.00,0.00,0.00,0.00,1121.34
2019-08-04,0.00,0.00,0.00,0.00,0.00,0.00,1451.36
2019-08-05,0.00,0.00,0.00,0.00,0.00,0.00,968.49
2019-08-06,0.00,0.00,0.00,0.00,0.00,0.00,955.15
2019-08-07,0.00,0.00,0.00,0.00,0.00,0.00,1146.28
2019-08-08,0.00,0.00,0.00,0.00,0.00,0.00,897.47
2019-08-09,0.00,0.00,0.00,0.00,0.00,0.00,1341.39
2019-08-10,0.00,0.00,0.00,0.00,0.00,0.00,1326.43
2019-08-11,0.00,0.00,0.00,0.00,0.00,0.00,1829.26
2019-08-12,0.00,0.00,0.00,0.00,0.00,0.00,2236.02
2019-08-13,0.00,0.00,0.00,0.00,0.00,0.00,1408.98
2019-08-14,0.00,0.00,0.00,0.00,0.00,0.00,1215.21
2019-08-15,0.00,0.00,0.00,0.00,0.00,0.00,1161.14
2019-08-16,0.00,0.00,0.00,0.00,0.00,0.00,1291.15
2019-08-17,0.00,0.00,0.00,0.00,0.00,0.00,1022.28
2019-08-18,0.00,0.00,0.00,0.00,0.00,0.00,1389.15
2019-08-19,0.00,0.00,0.00,0.00,0.00,0.00,1595.31
2019-08-20,0.00,0.00,0.00,0.00,0.00,0.00,2207.07
2019-08-21,0.00,0.00,0.00,0.00,0.00,0.00,3200.93
2019-08-22,0.00,0.00,0.00,0.00,0.00,0.00,1386.34
2019-08-23,0.00,0.00,0.00,0.00,0.00,0.00,1490.53
2019-08-24,0.00,0.00,0.00,0.00,0.00,0.00,686.70
2019-08-25,0.00,0.00,0.00,0.00,0.00,0.00,879.51
2019-08-26,0.00,0.00,0.00,0.00,0.00,0.00,1260.49
2019-08-27,0.00,0.00,0.00,0.00,0.00,0.00,857.25
2019-08-28,0.00,0.00,0.00,0.00,0.00,0.00,1366.38
2019-08-29,0.00,0.00,0.00,0.00,0.00,0.00,1812.19
2019-08-30,0.00,0.00,0.00,0.00,0.00,0.00,1960.96
2019-08-31,0.00,0.00,0.00,0.00,0.00,0.00,2644.05
2019-09-01,0.00,0.00,0.00,0.00,0.00,0.00,828.50
2019-09-02,0.00,0.00,0.00,0.00,0.00,0.00,2211.03
2019-09-03,0.00,0.00,0.00,0.00,0.00,0.00,1274.25
2019-09-04,0.00,0.00,0.00,0.00,0.00,0.00,958.43
2019-09-05,0.00,0.00,0.00,0.00,0.00,0.00,770.50
2019-09-06,0.00,0.00,0.00,0.00,0.00,0.00,2123.30
2019-09-07,0.00,0.00,0.00,0.00,0.00,0.00,1144.50
2019-09-08,0.00,0.00,0.00,0.00,0.00,0.00,3532.59
2019-09-09,0.00,0.00,0.00,0.00,0.00,0.00,2044.14
2019-09-10,0.00,0.00,0.00,0.00,0.00,0.00,2945.70
2019-09-11,0.00,0.00,0.00,0.00,0.00,0.00,958.40
2019-09-12,0.00,0.00,0.00,0.00,0.00,0.00,834.41
2019-09-13,0.00,0.00,0.00,0.00,0.00,0.00,824.48
2019-09-14,0.00,0.00,0.00,0.00,0.00,0.00,741.44
2019-09-15,0.00,0.00,0.00,0.00,0.00,0.00,1082.27
2019-09-16,0.00,0.00,0.00,0.00,0.00,0.00,1473.14
2019-09-17,0.00,0.00,0.00,0.00,0.00,0.00,982.34
2019-09-18,0.00,0.00,0.00,0.00,0.00,0.00,936.31
2019-09-19,0.00,0.00,0.00,0.00,0.00,0.00,805.41
2019-09-20,0.00,0.00,0.00,0.00,0.00,0.00,2019.12
2019-09-21,0.00,0.00,0.00,0.00,0.00,0.00,2301.10
2019-09-22,0.00,0.00,0.00,0.00,0.00,0.00,2480.03
2019-09-23,0.00,0.00,0.00,0.00,0.00,0.00,631.62
2019-09-24,0.00,0.00,0.00,0.00,0.00,0.00,1257.33
2019-09-25,0.00,0.00,0.00,0.00,0.00,0.00,486.44
2019-09-26,0.00,0.00,0.00,0.00,0.00,0.00,1040.45
2019-09-27,0.00,0.00,0.00,0.00,0.00,0.00,1548.32
2019-09-28,0.00,0.00,0.00,0.00,0.00,0.00,1825.30
2019-09-29,0.00,0.00,0.00,0.00,0.00,0.00,1654.19
2019-09-30,0.00,0.00,0.00,0.00,0.00,0.00,1728.11
2019-10-01,0.00,0.00,0.00,0.00,0.00,0.00,1015.22
2019-10-02,0.00,0.00,0.00,0.00,0.00,0.00,724.36
2019-10-03,0.00,0.00,0.00,0.00,0.00,0.00,666.62
2019-10-04,0.00,0.00,0.00,0.00,0.00,0.00,2424.07
2019-10-05,0.00,0.00,0.00,0.00,0.00,0.00,2153.14
2019-10-06,0.00,0.00,0.00,0.00,0.00,0.00,1447.32
2019-10-07,0.00,0.00,0.00,0.00,0.00,0.00,1381.47
2019-10-08,0.00,0.00,0.00,0.00,0.00,0.00,1292.20
2019-10-09,0.00,0.00,0.00,0.00,0.00,0.00,1886.14
2019-10-10,0.00,0.00,0.00,0.00,0.00,0.00,1797.19
2019-10-11,0.00,0.00,0.00,0.00,0.00,0.00,1283.35
2019-10-12,0.00,0.00,0.00,0.00,0.00,0.00,1133.43
2019-10-13,0.00,0.00,0.00,0.00,0.00,0.00,1668.86
2019-10-14,0.00,0.00,0.00,0.00,0.00,0.00,1592.28
2019-10-15,0.00,0.00,0.00,0.00,0.00,0.00,1171.26
2019-10-16,0.00,0.00,0.00,0.00,0.00,0.00,1285.37
2019-10-17,0.00,0.00,0.00,0.00,0.00,0.00,1196.29
2019-10-18,0.00,0.00,0.00,0.00,0.00,0.00,2115.12
